System Time,RDTSC,Elapsed Time (sec),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz)
11:27:13:808, 3113614298125261,    1.009, 4000,   4.814,   4.856,   1.349,   3.235,   3.264,   0.907, 41,  0,   0.021,   0.022,   0.006,  65.000,    0
11:27:14:824, 3113617954695163,    2.025, 4100,   5.121,  10.058,   2.794,   3.574,   6.894,   1.915, 41,  0,   0.006,   0.028,   0.008,  65.000,    0
11:27:15:839, 3113621611445749,    3.040, 4000,   2.592,  12.690,   3.525,   1.056,   7.966,   2.213, 40,  0,   0.007,   0.036,   0.010,  65.000,    0
11:27:16:855, 3113625267988267,    4.056, 4100,   5.167,  17.939,   4.983,   3.612,  11.636,   3.232, 40,  0,   0.008,   0.044,   0.012,  65.000,    0
11:27:17:871, 3113628924557265,    5.072, 4200,   5.209,  23.230,   6.453,   3.655,  15.348,   4.263, 41,  0,   0.009,   0.053,   0.015,  65.000,    0
11:27:18:887, 3113632581253503,    6.087, 4100,   3.096,  26.375,   7.326,   1.563,  16.936,   4.704, 41,  0,   0.009,   0.062,   0.017,  65.000,    0
11:27:19:902, 3113636237972361,    7.103, 4000,   5.154,  31.610,   8.781,   3.604,  20.597,   5.721, 41,  0,   0.008,   0.070,   0.019,  65.000,    0
11:27:20:918, 3113639894548995,    8.119, 4100,   5.174,  36.865,  10.240,   3.608,  24.262,   6.739, 40,  0,   0.011,   0.081,   0.023,  65.000,    0
11:27:21:934, 3113643551257807,    9.135, 4000,   2.736,  39.645,  11.012,   1.214,  25.495,   7.082, 41,  0,   0.012,   0.093,   0.026,  65.000,    0
11:27:22:950, 3113647207904553,   10.150, 4000,   5.042,  44.766,  12.435,   3.494,  29.044,   8.068, 40,  0,   0.009,   0.103,   0.029,  65.000,    0
11:27:22:950, 3113647208677519,   10.151, 4200,   0.000,  44.766,  12.435,  16.772,  29.048,   8.069, 40,  0,   0.000,   0.103,   0.029,  65.000,    0

Total Elapsed Time (sec) = 10.150635
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 44.766174
Cumulative Processor Energy_0 (mWh) = 12.435048
Average Processor Power_0 (Watt) = 4.410185

Cumulative IA Energy_0 (Joules) = 29.047607
Cumulative IA Energy_0 (mWh) = 8.068780
Average IA Power_0 (Watt) = 2.861654

Cumulative GT Energy_0 (Joules) = 0.102600
Cumulative GT Energy_0 (mWh) = 0.028500
Average GT Power_0 (Watt) = 0.010108
